job_id,title,company_name,company_name_normalized,location,location_normalized,work_mode,posted_at,employment_type,seniority_level,offered_salary_min,offered_salary_max,offered_salary_currency,salary_period,salary_is_predicted,offered_salary_min_usd,offered_salary_max_usd,benefits,benefits_normalized,skill_score,semantic_score,score_total,matched_skills,status,apply_url,geocode_lat,geocode_lon
4272854754,Technical Program Manager (Customer Success Manager),Harness,,,,,,,,,,,yearly,,,,"commuter, equity, fsa, parental leave, rsu",,0.178698,0.697069987654686,0.4515,Salesforce,new,https://www.linkedin.com/jobs/view/4272854754,,
4297695784,"Partner Manager, Technical Programs – MSP",Atlassian,,,,,,,,,,,yearly,,,,"bonus, disability, equity, vision",,0.0,0.7196901738643646,0.3969,,new,https://www.linkedin.com/jobs/view/4297695784,,
4273265487,"Technical Program Manager, Accessibility",Accessibility,,,,,,full-time,lead,149000.0,260000.0,USD,yearly,,149000.0,260000.0,"annual bonus, bonus, dental, disability, equity, mental health, parental leave, pto, vision, wellness",,0.0,0.6825557351112366,0.3589,"product management, program management, stakeholder management, compliance",new,https://www.linkedin.com/jobs/view/4273265487,,
4286881201,"Program Manager, Developer Awareness & Education",Adobe,,,,,,,,,,,yearly,,,,"disability, equity",,0.0,0.644273191690445,0.3705,,new,https://www.linkedin.com/jobs/view/4286881201,,
4299048930,General Manager,Malbon Golf,,,,,,,,,,,yearly,,,,"401k, bonus, dental, medical, pto, vision",,0.0,0.6069795116782188,0.3574,,new,https://www.linkedin.com/jobs/view/4299048930,,
4296244758,Support Operations Manager,HomeLight,,,,,,,,,,,yearly,,,,"401k, commuter, dental, disability, life insurance, medical, pto, vision",,0.178698,0.6531271934509277,0.4361,Documentation,new,https://www.linkedin.com/jobs/view/4296244758,,
4295809873,Sr. Growth Program Manager (Remote),CrowdStrike,,,,remote,,,senior,,,,yearly,,,,"401k, bonus, disability, equity, health insurance, medical, paid time off, wellness",,0.178698,0.6730521321296692,0.4181,Salesforce,new,https://www.linkedin.com/jobs/view/4295809873,,
4297461588,"Customer Onboarding Manager, Deel IT",Deel,,,,,,,,,,,yearly,,,,"bonus, disability, pto, rsu, stock, vision",,0.0,0.6679047495126724,0.3788,,new,https://www.linkedin.com/jobs/view/4297461588,,
4288394857,Product Operations Manager,Zip,,,,,,,,,,,yearly,,,,"401k, commuter, dental, equity, pto, vision",,0.178698,0.6228888109326363,0.4256,Salesforce,new,https://www.linkedin.com/jobs/view/4288394857,,
4282939710,Implementation Manager,Gigs,,,,,,,,,,,yearly,,,,"rsu, stock, vision",,0.0,0.6383100897073746,0.3684,onboarding,new,https://www.linkedin.com/jobs/view/4282939710,,
